Name
United States
United Kingdom
Switzerland
New Zealand
Poland
Colombia
France
Canada
Germany
Greece
Brazil
Israel
Italy
Belgium
India
Chile
Croatia
Argentina
Netherlands
Denmark
Ukraine
Sri Lanka
Malaysia
Finland
Turkey
Spain
Austria
Mexico
Russian Federation
Bulgaria
Uruguay
Estonia
Iran
Bangladesh
Sweden
Lithuania
Paraguay
Romania
Costa Rica
Serbia
Slovenia
United Arab Emirates
Tunisia
Kenya
El Salvador
Norway
Dominican Republic
Belarus
Portugal
Czech Republic
Albania
I prefer not to say
South Africa
Uzbekistan
Moldavia
Ireland
Nepal
Pakistan
Slovak Republic
Hungary
Egypt
Australia
Japan
South Korea
Rwanda
Luxembourg
Kazakhstan
Bolivia
Vietnam
Somalia
Saudi Arabia
Ethiopia
Macedonia
Bosnia-Herzegovina
Algeria
Nicaragua
Cuba
Indonesia
Netherlands Antilles
Jamaica
Nigeria
Ecuador
Peru
Malta
Uganda
Morocco
Guatemala
Jordan
Cyprus
Georgia
Armenia
Virgin Islands (USA)
Lebanon
China
Bermuda
Latvia
Singapore
Thailand
American Samoa
Puerto Rico
Philippines
Hong Kong
Taiwan
Cape Verde
Trinidad and Tobago
Mongolia
Myanmar
North Korea
Afghanistan
Cambodia
Liechtenstein
Botswana
Madagascar
Mauritius
Iraq
Ghana
Aland Islands
Zambia
Iceland
Zimbabwe
Azerbaidjan
Kuwait
Venezuela
S. Georgia & S. Sandwich Isls.
Panama
Andorra
Cayman Islands
Bahamas
Honduras
Sudan
Syria
Gibraltar
Virgin Islands (British)
Cameroon
Tanzania
Mozambique
Qatar
Libya
Reunion (French)
Vatican City State
Oman
Angola
Montenegro
Haiti
New Caledonia (French)
Bahrain
Bouvet Island
Togo
Namibia
Guyana
Lesotho
Antarctica
Burkina Faso
Anguilla
Fiji
Bhutan
Malawi
Laos
Gabon
Senegal
Kyrgyzstan
Tadjikistan
Brunei Darussalam
Zaire
Ivory Coast (Cote D'Ivoire)
Saint Lucia
Monaco
U.S. Minor Outlying Islands
Polynesia (French)
French Guyana
Pitcairn Island
Seychelles
Guinea
Aruba
Belize
Benin
Swaziland
Barbados
Eritrea
Niger
Suriname
Guam
Antigua and Barbuda
Djibouti
Mali
British Indian Ocean Territory
Northern Mariana Islands
Saint Vincent & Grenadines
Martinique (French)
Burundi
Cook Islands
Yemen
Turkmenistan
Macau
Chad
Falkland Islands
Montserrat
Christmas Island
Heard and McDonald Islands
Comoros
Saint Helena
